# Tabulated potential for water-free Farago 3-bead lipid model

HEAD_HEAD
N 251 R 0.000001 2.500000

1 0.000001 0.000000 0.000000
2 0.010001 2350998532124509003055104.000000 2820920602091430777590906880.000000
3 0.020001 574318713030831898624.000000 344574543320630276653056.000000
4 0.030001 4427358741657957888.000000 1770887264355350740992.000000
5 0.040001 140256598320601664.000000 42075994098390745088.000000
6 0.050001 9638938288567594.000000 2313302586941648896.000000
7 0.060001 1081114298097409.250000 216219600294132768.000000
8 0.070001 170028814322555.468750 29147427351099904.000000
9 0.080001 34247465224426.718750 5137064063676355.000000
10 0.090001 8333075873116.630859 1111066359321438.875000
11 0.100001 2353537513754.903320 282422203185628.437500
12 0.110001 749917436693.733276 81808601308121.671875
13 0.120001 263969877821.667297 26396831745522.949219
14 0.130001 101021075005.929199 9324978009092.070312
15 0.140001 41514325495.473656 3558358522062.251953
16 0.150001 18140148612.243397 1451209171853.115234
17 0.160001 8361746717.587396 627131044396.852905
18 0.170001 4039706891.931821 285156496291.572937
19 0.180001 2034539532.025418 135636731581.200058
20 0.190001 1063386912.874794 67161923114.185585
21 0.200001 574608160.645892 34476994493.911568
22 0.210001 319960307.422888 18283830552.523026
23 0.220001 183083763.170901 9986677047.757355
24 0.230001 107394119.492595 5603390065.750456
25 0.240001 64442149.592816 3222272948.471743
26 0.250001 39483230.604260 1895321085.978244
27 0.260001 24660253.067599 1138262193.913519
28 0.270001 15678121.617677 696880129.721725
29 0.280001 10133053.807571 434331946.099160
30 0.290001 6650184.592720 275225746.935157
31 0.300001 4427130.412994 177121352.367843
32 0.310001 2986749.067654 115644873.412425
33 0.320001 2040300.679710 76534354.116658
34 0.330001 1410177.329173 51297802.280104
35 0.340001 985444.855253 34795533.080291
36 0.350001 695810.929711 23868730.782080
37 0.360001 496129.589159 16547802.315761
38 0.370001 357033.856354 11587857.319327
39 0.380001 259189.877067 8191898.905781
40 0.390001 189723.710686 5843452.654343
41 0.400001 139970.205778 4203964.738505
42 0.410001 104037.257110 3049080.461478
43 0.420001 77879.376856 2228578.181589
44 0.430001 58693.260746 1640880.115242
45 0.440001 44519.268867 1216655.055026
46 0.450001 33976.030443 908157.557768
47 0.460001 26082.010682 682226.391918
48 0.470001 20134.449284 515641.715162
49 0.480001 15626.507716 392017.903927
50 0.490001 12190.093452 299705.736776
51 0.500001 9556.088997 230364.076503
52 0.510001 7526.476301 177979.515775
53 0.520001 5954.655653 138188.271107
54 0.530001 4731.452597 107803.649296
55 0.540001 3775.101880 84484.412247
56 0.550001 3024.031660 66500.429041
57 0.560001 2431.632679 52565.981593
58 0.570001 1962.443638 41720.439262
59 0.580001 1589.353270 33242.318763
60 0.590001 1291.536710 26587.023430
61 0.600001 1052.925294 21341.480684
62 0.610001 861.066002 17190.909819
63 0.620001 706.267090 13894.347239
64 0.630001 580.955008 11266.528984
65 0.640001 479.188077 9164.412807
66 0.650001 396.287069 7477.103647
67 0.660001 328.553349 6118.288160
68 0.670001 273.052925 5020.527921
69 0.680001 227.450303 4130.935924
70 0.690001 189.880163 3407.887271
71 0.700001 158.847864 2818.506439
72 0.710001 133.152002 2336.740166
73 0.720001 111.823934 1941.873777
74 0.730001 94.080365 1617.384652
75 0.740001 79.286059 1350.053006
76 0.750001 66.924418 1129.269795
77 0.760001 56.574185 946.496209
78 0.770001 47.890946 794.840139
79 0.780001 40.592395 668.723232
80 0.790001 34.446558 563.618319
81 0.800001 29.262362 475.841726
82 0.810001 24.882056 402.388486
83 0.820001 21.175102 340.801222
84 0.830001 18.033245 289.065518
85 0.840001 15.366513 245.526199
86 0.850001 13.099978 208.820162
87 0.860001 11.171112 177.822342
88 0.870001 9.527630 151.602133
89 0.880001 8.125735 129.388155
90 0.890001 6.928666 110.539698
91 0.900001 5.905514 94.523523
92 0.910001 5.030248 80.894973
93 0.920001 4.280904 69.282551
94 0.930001 3.638922 59.375313
95 0.940001 3.088590 50.912528
96 0.950001 2.616592 43.675188
97 0.960001 2.211621 37.479016
98 0.970001 1.864064 32.168701
99 0.980001 1.565735 27.613134
100 0.990001 1.309658 23.701463
101 1.000001 1.089875 20.339819
102 1.010001 0.901296 17.448596
103 1.020001 0.739562 14.960185
104 1.030001 0.600943 12.817086
105 1.040001 0.482234 10.970332
106 1.050001 0.380689 9.378162
107 1.060001 0.293942 8.004920
108 1.070001 0.219963 6.820121
109 1.080001 0.157000 5.797671
110 1.090001 0.103544 4.915208
111 1.100001 0.058293 4.153546
112 1.110001 0.020126 3.496207
113 1.120001 -0.011931 2.929022
114 1.130001 -0.038714 2.439797
115 1.140001 -0.060951 2.018027
116 1.150001 -0.079269 1.654650
117 1.160001 -0.094212 1.341848
118 1.170001 -0.106252 1.072864
119 1.180001 -0.115796 0.841859
120 1.190001 -0.123199 0.643778
121 1.200001 -0.128767 0.474245
122 1.210001 -0.132766 0.329467
123 1.220001 -0.135427 0.206157
124 1.230001 -0.136951 0.101461
125 1.240001 -0.137510 0.012902
126 1.250001 -0.137256 -0.061671
127 1.260001 -0.136317 -0.124129
128 1.270001 -0.134808 -0.176097
129 1.280001 -0.132825 -0.218989
130 1.290001 -0.130454 -0.254036
131 1.300001 -0.127767 -0.282307
132 1.310001 -0.124827 -0.304734
133 1.320001 -0.121689 -0.322129
134 1.330001 -0.118399 -0.335199
135 1.340001 -0.114998 -0.344558
136 1.350001 -0.111519 -0.350741
137 1.360001 -0.107992 -0.354215
138 1.370001 -0.104442 -0.355385
139 1.380001 -0.100890 -0.354604
140 1.390001 -0.097355 -0.352178
